protocolo,cenario,arquivo,tempo_total_medio,tempo_total_desvio,tempo_dns_medio
RUDP,A,arquivo_100kb_bin,0.3314499999999999,0.014886403192175067,0.011350000000000002
RUDP,A,arquivo_10mb_bin,34.48704,3.172915061089548,0.011289999999999998
RUDP,A,arquivo_1mb_bin,3.0990699999999998,0.04384604505159696,0.01133
RUDP,B,arquivo_100kb_bin,2.055,0.49523212514716547,0.0514
RUDP,B,arquivo_10mb_bin,208.17326000000003,11.56065004796683,0.2522
RUDP,B,arquivo_1mb_bin,20.231770000000004,1.8321541450495424,0.051770000000000004
RUDP,C,arquivo_100kb_bin,4.61055,1.3361802300671202,0.30119
RUDP,C,arquivo_10mb_bin,412.22178,14.070480607427735,0.30216000000000004
RUDP,C,arquivo_1mb_bin,41.26237999999999,3.451419188552893,0.30169
TCP,A,arquivo_100kb_bin,0.054979999999999994,0.001946963447696608,0.01112
TCP,A,arquivo_10mb_bin,1.03405,0.5949610692212466,0.01123
TCP,A,arquivo_1mb_bin,0.11499999999999999,0.016182294851678696,0.010950000000000001
TCP,B,arquivo_100kb_bin,0.36905,0.3212165183589827,0.05118
TCP,B,arquivo_10mb_bin,1.9142199999999998,1.0671433609824357,0.25197
TCP,B,arquivo_1mb_bin,0.5482899999999999,0.16815931235983733,0.0516
TCP,C,arquivo_100kb_bin,0.8202399999999999,0.6744750159280261,0.30212
TCP,C,arquivo_10mb_bin,2.5385,1.0839296061604329,0.7025
TCP,C,arquivo_1mb_bin,1.1258700000000001,0.6296524368429159,0.30201
